"","From","Entry","Features","Glyco.features","Glyco"
"1534","Q6IMP4","Q6IMP4","Alternative sequence (2); Chain (1); Compositional bias (1); Glycosylation (1); Modified residue (2); Region (2); Sequence conflict (3); Topological domain (5); Transmembrane (4)","1",TRUE
"1535","Q6IQX7","Q6IQX7","Alternative sequence (2); Binding site (1); Chain (1); Glycosylation (2); Region (1); Topological domain (2); Transmembrane (1)","2",TRUE
"1536","Q6NVD0","Q6NVD0","Alternative sequence (3); Chain (1); Compositional bias (1); Domain (5); Glycosylation (5); Region (1); Repeat (12); Sequence conflict (4); Signal (1); Topological domain (2); Transmembrane (1)","5",TRUE
"1537","Q6NVG1","Q6NVG1","Chain (1); Compositional bias (1); Glycosylation (1); Motif (1); Region (1); Sequence conflict (1); Transmembrane (2)","1",TRUE
"1538","Q6NXK7","Q6NXK7","Chain (1); Glycosylation (8); Modified residue (2); Region (1); Topological domain (2); Transmembrane (1)","8",TRUE
"1539","Q6NXK8","Q6NXK8","Alternative sequence (2); Chain (1); Disulfide bond (7); Glycosylation (2); Modified residue (2); Motif (1); Site (3); Topological domain (3); Transmembrane (2)","2",TRUE
"1540","Q6P1C6","Q6P1C6","Beta strand (9); Chain (1); Compositional bias (2); Disulfide bond (3); Domain (5); Glycosylation (7); Helix (2); Region (1); Repeat (15); Sequence conflict (3); Signal (1); Transmembrane (1); Turn (1)","7",TRUE
"1541","Q6P1D5","Q6P1D5","Alternative sequence (1); Chain (1); Compositional bias (1); Disulfide bond (13); Domain (8); Glycosylation (11); Region (3); Sequence conflict (2); Signal (1); Topological domain (2); Transmembrane (1)","11",TRUE
"1542","Q6P5E4","Q6P5E4","Chain (1); Compositional bias (1); Glycosylation (3); Modified residue (1); Motif (1); Region (2); Sequence conflict (8); Signal (1)","3",TRUE
"1543","Q6P5F6","Q6P5F6","Chain (1); Compositional bias (2); Glycosylation (4); Modified residue (3); Region (5); Sequence conflict (3); Signal (1); Transmembrane (7)","4",TRUE
"1544","Q6P9J9","Q6P9J9","Alternative sequence (2); Beta strand (28); Binding site (3); Chain (1); Disulfide bond (5); Glycosylation (6); Helix (29); Mutagenesis (22); Topological domain (10); Transmembrane (10); Turn (10)","6",TRUE
"1545","Q6P9K9","Q6P9K9","Alternative sequence (3); Beta strand (13); Binding site (3); Chain (1); Compositional bias (2); Disulfide bond (12); Domain (9); Glycosylation (6); Helix (3); Region (2); Sequence conflict (1); Signal (1); Topological domain (2); Transmembrane (1)","6",TRUE
"1546","Q6P9S7","Q6P9S7","Binding site (9); Chain (1); Disulfide bond (5); Domain (1); Glycosylation (3); Region (3); Sequence conflict (1); Topological domain (2); Transmembrane (1)","3",TRUE
"1547","Q6PAL1","Q6PAL1","Chain (1); Glycosylation (1); Region (1); Sequence conflict (4); Signal (1)","1",TRUE
"1548","Q6PB93","Q6PB93","Alternative sequence (1); Binding site (11); Chain (2); Disulfide bond (5); Domain (1); Glycosylation (1); Modified residue (1); Region (2); Sequence conflict (4); Topological domain (2); Transmembrane (1)","1",TRUE
"1549","Q6PCX7","Q6PCX7","Alternative sequence (1); Chain (1); Disulfide bond (2); Glycosylation (3); Lipidation (1); Propeptide (2); Region (1); Sequence conflict (1); Signal (1); Site (1)","3",TRUE
"1550","Q6PD31","Q6PD31","Alternative sequence (3); Chain (1); Coiled coil (2); Domain (1); Glycosylation (3); Modified residue (3); Region (3)","3",TRUE
"1551","Q6PDE7","Q6PDE7","Alternative sequence (1); Chain (2); Compositional bias (1); Glycosylation (4); Region (1); Sequence conflict (6); Topological domain (2); Transmembrane (1)","4",TRUE
"1552","Q6PEM8","Q6PEM8","Binding site (3); Chain (1); Disulfide bond (1); Glycosylation (2); Modified residue (3); Sequence conflict (1); Topological domain (13); Transmembrane (12)","2",TRUE
"1553","Q6PGK7","Q6PGK7","Alternative sequence (3); Binding site (2); Chain (1); Glycosylation (3); Sequence conflict (1); Topological domain (2); Transmembrane (1)","3",TRUE
"1554","Q6PGN1","Q6PGN1","Chain (1); Compositional bias (3); Domain (1); Glycosylation (4); Region (3); Sequence conflict (1); Signal (1)","4",TRUE
"1555","Q6PHS9","Q6PHS9","Alternative sequence (3); Binding site (3); Chain (3); Compositional bias (1); Disulfide bond (1); Domain (2); Glycosylation (7); Motif (1); Mutagenesis (4); Natural variant (1); Region (1); Sequence conflict (3); Signal (1); Topological domain (2); Transmembrane (1)","7",TRUE
"1556","Q6PHU5","Q6PHU5","Alternative sequence (1); Beta strand (52); Chain (1); Compositional bias (1); Disulfide bond (8); Glycosylation (6); Helix (9); Lipidation (1); Modified residue (3); Motif (2); Propeptide (1); Region (4); Repeat (9); Sequence conflict (1); Signal (1); Topological domain (2); Transmembrane (1); Turn (5)","6",TRUE
"1557","Q6PIX5","Q6PIX5","Alternative sequence (2); Chain (1); Glycosylation (1); Modified residue (5); Region (1); Sequence conflict (4); Topological domain (8); Transmembrane (7)","1",TRUE
"1558","Q6Q473","Q6Q473","Active site (1); Alternative sequence (2); Binding site (3); Chain (3); Domain (1); Glycosylation (12); Region (1); Signal (1); Site (1); Transmembrane (1)","12",TRUE
"1559","Q6QIY3","Q6QIY3","Alternative sequence (2); Chain (1); Compositional bias (4); Disulfide bond (2); Domain (1); Glycosylation (9); Intramembrane (4); Modified residue (7); Mutagenesis (2); Region (5); Repeat (4); Topological domain (29); Transmembrane (24)","9",TRUE
"1560","Q6QLQ4","Q6QLQ4","Beta strand (8); Binding site (6); Chain (1); Compositional bias (1); Disulfide bond (3); Domain (1); Glycosylation (2); Helix (4); Motif (1); Mutagenesis (3); Region (2); Sequence conflict (9); Topological domain (2); Transmembrane (1)","2",TRUE
"1561","Q6QNU9","Q6QNU9","Chain (1); Domain (1); Glycosylation (4); Mutagenesis (1); Repeat (17); Signal (1); Topological domain (2); Transmembrane (1)","4",TRUE
"1562","Q6R5N8","Q6R5N8","Beta strand (31); Chain (1); Domain (2); Glycosylation (20); Helix (14); Repeat (25); Signal (1); Topological domain (2); Transmembrane (1); Turn (13)","20",TRUE
"1563","Q6R5P0","Q6R5P0","Chain (1); Domain (1); Glycosylation (9); Repeat (10); Signal (1); Topological domain (2); Transmembrane (1)","9",TRUE
"1564","Q6R6I7","Q6R6I7","Binding site (6); Chain (1); Disulfide bond (4); Domain (1); Glycosylation (6); Repeat (10); Topological domain (8); Transmembrane (7)","6",TRUE
"1565","Q6RKD8","Q6RKD8","Chain (1); Disulfide bond (3); Domain (3); Glycosylation (1); Modified residue (3); Mutagenesis (3); Repeat (10); Sequence conflict (1); Signal (1); Topological domain (2); Transmembrane (1)","1",TRUE
"1566","Q6S5C2","Q6S5C2","Alternative sequence (1); Chain (1); Disulfide bond (4); Domain (2); Glycosylation (2); Mutagenesis (7); Signal (1)","2",TRUE
"1567","Q6SJE0","Q6SJE0","Alternative sequence (2); Chain (1); Disulfide bond (11); Glycosylation (4); Region (1); Sequence conflict (1); Signal (1); Topological domain (2); Transmembrane (1)","4",TRUE
"1568","Q6SJQ0","Q6SJQ0","Alternative sequence (1); Chain (1); Compositional bias (2); Disulfide bond (1); Domain (1); Glycosylation (1); Modified residue (1); Mutagenesis (1); Region (2); Sequence conflict (9); Signal (1); Topological domain (2); Transmembrane (1)","1",TRUE
"1569","Q6TL19","Q6TL19","Chain (1); Domain (2); Glycosylation (9); Mutagenesis (2); Sequence conflict (1); Signal (1); Topological domain (2); Transmembrane (1)","9",TRUE
"1570","Q6U7R4","Q6U7R4","Beta strand (11); Chain (1); Compositional bias (1); Disulfide bond (3); Domain (1); Glycosylation (1); Helix (2); Modified residue (3); Natural variant (2); Region (2); Signal (1); Topological domain (2); Transmembrane (1); Turn (1)","1",TRUE
"1571","Q6UJY2","Q6UJY2","Binding site (1); Chain (1); Compositional bias (1); Glycosylation (1); Region (2); Sequence conflict (6); Transmembrane (14)","1",TRUE
"1572","Q6V4S5","Q6V4S5","Alternative sequence (3); Beta strand (37); Chain (1); Compositional bias (2); Disulfide bond (5); Domain (19); Glycosylation (6); Helix (5); Motif (1); Mutagenesis (1); Region (4); Signal (1); Topological domain (2); Transmembrane (1); Turn (3)","6",TRUE
"1573","Q6VMN6","Q6VMN6","Chain (1); Disulfide bond (1); Glycosylation (2); Region (2); Sequence conflict (1); Topological domain (8); Transmembrane (7)","2",TRUE
"1574","Q6VNS1","Q6VNS1","Active site (1); Alternative sequence (4); Binding site (2); Chain (1); Disulfide bond (6); Domain (4); Glycosylation (14); Modified residue (5); Repeat (2); Sequence conflict (1); Signal (1); Site (2); Topological domain (2); Transmembrane (1)","14",TRUE
"1575","Q6VV64","Q6VV64","Chain (1); Glycosylation (1); Intramembrane (2); Modified residue (2); Mutagenesis (6); Region (2); Sequence conflict (2); Topological domain (3); Transmembrane (4)","1",TRUE
"1576","Q6VVW5","Q6VVW5","Alternative sequence (3); Chain (1); Disulfide bond (3); Domain (2); Glycosylation (7); Modified residue (7); Sequence conflict (1); Signal (1); Topological domain (2); Transmembrane (1)","7",TRUE
"1577","Q6VZZ7","Q6VZZ7","Alternative sequence (2); Chain (1); Disulfide bond (1); Glycosylation (1); Lipidation (2); Modified residue (1); Region (1); Sequence conflict (1); Topological domain (8); Transmembrane (7)","1",TRUE
"1578","Q6WQJ1","Q6WQJ1","Active site (2); Chain (1); Compositional bias (1); Glycosylation (1); Modified residue (12); Mutagenesis (2); Region (2); Sequence conflict (3); Topological domain (5); Transmembrane (4)","1",TRUE
"1579","Q6X1Y6","Q6X1Y6","Alternative sequence (2); Chain (1); Disulfide bond (7); Glycosylation (2); Motif (1); Region (1); Site (1); Topological domain (3); Transmembrane (2)","2",TRUE
"1580","Q6X6Z7","Q6X6Z7","Chain (1); Coiled coil (1); Glycosylation (7)","7",TRUE
"1581","Q6X786","Q6X786","Alternative sequence (2); Chain (1); Glycosylation (3); Sequence conflict (1); Signal (1)","3",TRUE
"1582","Q6XJV4","Q6XJV4","Beta strand (18); Chain (1); Disulfide bond (4); Domain (2); Glycosylation (3); Helix (1); Mutagenesis (3); Signal (1); Topological domain (2); Transmembrane (1); Turn (2)","3",TRUE
"1583","Q6YGZ1","Q6YGZ1","Active site (2); Binding site (8); Chain (2); Disulfide bond (2); Glycosylation (3); Propeptide (1); Region (2); Sequence conflict (7); Signal (1)","3",TRUE
"1584","Q6YNI2","Q6YNI2","Chain (1); Glycosylation (3); Lipidation (1); Modified residue (3); Region (1); Topological domain (8); Transmembrane (7)","3",TRUE
"1585","Q6ZQ11","Q6ZQ11","Binding site (2); Chain (1); Glycosylation (2); Region (1); Topological domain (2); Transmembrane (1)","2",TRUE
"1586","Q6ZQE4","Q6ZQE4","Chain (1); Glycosylation (1); Modified residue (3); Mutagenesis (5); Region (4); Signal (1); Transmembrane (5)","1",TRUE
"1587","Q6ZQM8","Q6ZQM8","Chain (1); Glycosylation (2); Signal (1); Transmembrane (1)","2",TRUE
"1588","Q6ZWY9","Q6ZWY9","Chain (1); Compositional bias (1); Cross-link (4); Glycosylation (1); Initiator methionine (1); Modified residue (73); Region (1)","1",TRUE
"1589","Q704Y3","Q704Y3","Alternative sequence (1); Binding site (10); Chain (1); Compositional bias (1); Glycosylation (1); Modified residue (8); Motif (1); Mutagenesis (4); Region (5); Repeat (6); Sequence conflict (1); Topological domain (7); Transmembrane (6)","1",TRUE
"1590","Q70UZ7","Q70UZ7","Alternative sequence (2); Chain (1); Disulfide bond (6); Domain (5); Glycosylation (1); Region (1); Sequence conflict (10); Signal (1)","1",TRUE
"1591","Q71M36","Q71M36","Alternative sequence (3); Chain (1); Compositional bias (2); Disulfide bond (3); Domain (1); Glycosylation (13); Modified residue (10); Mutagenesis (2); Region (7); Sequence conflict (2); Signal (1); Topological domain (2); Transmembrane (1)","13",TRUE
"1592","Q71MR7","Q71MR7","Chain (1); Disulfide bond (1); Glycosylation (3); Sequence conflict (1); Topological domain (8); Transmembrane (7)","3",TRUE
"1593","Q75N73","Q75N73","Alternative sequence (1); Chain (1); Glycosylation (4); Motif (2); Mutagenesis (1); Sequence conflict (4); Signal (1); Topological domain (8); Transmembrane (7)","4",TRUE
"1594","Q75UR0","Q75UR0","Alternative sequence (6); Chain (1); Glycosylation (6); Topological domain (9); Transmembrane (8)","6",TRUE
"1595","Q761V0","Q761V0","Alternative sequence (1); Binding site (8); Chain (1); Compositional bias (1); Disulfide bond (1); Glycosylation (5); Modified residue (3); Region (2); Sequence conflict (1); Topological domain (3); Transmembrane (12)","5",TRUE
"1596","Q765H6","Q765H6","Alternative sequence (3); Chain (1); Disulfide bond (9); Glycosylation (2); Topological domain (2); Transmembrane (1)","2",TRUE
"1597","Q769J6","Q769J6","Active site (1); Binding site (11); Chain (1); Disulfide bond (14); Domain (12); Glycosylation (14); Motif (1); Natural variant (2); Propeptide (1); Region (2); Sequence conflict (1); Signal (1)","14",TRUE
"1598","Q76JU9","Q76JU9","Chain (1); Disulfide bond (1); Glycosylation (1); Sequence conflict (1); Site (2); Topological domain (8); Transmembrane (7)","1",TRUE
"1599","Q76K27","Q76K27","Alternative sequence (2); Chain (1); Disulfide bond (3); Glycosylation (3); Region (1); Sequence conflict (1); Topological domain (2); Transmembrane (1)","3",TRUE
"1600","Q76KF0","Q76KF0","Alternative sequence (4); Chain (1); Compositional bias (6); Disulfide bond (8); Domain (2); Glycosylation (5); Modified residue (7); Region (4); Signal (1); Topological domain (2); Transmembrane (1)","5",TRUE
"1601","Q76LW6","Q76LW6","Chain (1); Disulfide bond (4); Domain (1); Glycosylation (1); Signal (1)","1",TRUE
"1602","Q76M72","Q76M72","Alternative sequence (1); Chain (1); Compositional bias (1); Glycosylation (5); Region (1); Topological domain (13); Transmembrane (12)","5",TRUE
"1603","Q78DX7","Q78DX7","Active site (1); Binding site (2); Chain (1); Domain (10); Glycosylation (7); Modified residue (2); Mutagenesis (1); Sequence conflict (29); Signal (1); Topological domain (2); Transmembrane (1)","7",TRUE
"1604","Q78IQ7","Q78IQ7","Alternative sequence (2); Chain (1); Compositional bias (1); Glycosylation (4); Region (1); Sequence conflict (1); Signal (1); Topological domain (7); Transmembrane (6)","4",TRUE
"1605","Q7M6Z0","Q7M6Z0","Chain (1); Compositional bias (1); Disulfide bond (4); Domain (2); Glycosylation (3); Lipidation (1); Propeptide (1); Region (2); Repeat (8); Signal (1)","3",TRUE
"1606","Q7M729","Q7M729","Beta strand (12); Chain (1); Disulfide bond (2); Domain (1); Glycosylation (4); Helix (1); Region (1); Signal (1); Topological domain (2); Transmembrane (1)","4",TRUE
"1607","Q7M750","Q7M750","Chain (1); Glycosylation (3); Mutagenesis (3); Region (3); Sequence conflict (1); Topological domain (2); Transmembrane (1)","3",TRUE
"1608","Q7M761","Q7M761","Active site (3); Alternative sequence (1); Binding site (1); Chain (1); Disulfide bond (8); Domain (3); Glycosylation (5); Propeptide (1); Region (1); Signal (1)","5",TRUE
"1609","Q7TMA4","Q7TMA4","Chain (1); Disulfide bond (1); Glycosylation (1); Modified residue (6); Mutagenesis (1); Topological domain (8); Transmembrane (7)","1",TRUE
"1610","Q7TMD7","Q7TMD7","Chain (1); Domain (4); Glycosylation (2); Natural variant (1); Propeptide (1); Region (1); Repeat (2); Signal (1); Topological domain (2); Transmembrane (1)","2",TRUE
"1611","Q7TME0","Q7TME0","Chain (1); Compositional bias (2); Glycosylation (9); Modified residue (7); Mutagenesis (3); Region (4); Sequence conflict (8); Transmembrane (6)","9",TRUE
"1612","Q7TMF5","Q7TMF5","Chain (1); Glycosylation (2); Region (1); Sequence conflict (4); Signal (1); Site (1)","2",TRUE
"1613","Q7TMR0","Q7TMR0","Active site (3); Alternative sequence (1); Chain (1); Disulfide bond (4); Glycosylation (5); Propeptide (1); Region (1); Sequence conflict (2); Signal (1)","5",TRUE
"1614","Q7TMS5","Q7TMS5","Binding site (4); Chain (1); Disulfide bond (2); Domain (2); Glycosylation (2); Region (1); Sequence conflict (3); Topological domain (7); Transmembrane (6)","2",TRUE
"1615","Q7TN16","Q7TN16","Binding site (1); Chain (1); Disulfide bond (10); Domain (2); Glycosylation (4); Region (1); Sequence conflict (3); Signal (1)","4",TRUE
"1616","Q7TNC8","Q7TNC8","Binding site (4); Chain (1); Disulfide bond (2); Glycosylation (2); Signal (1); Site (1); Topological domain (5); Transmembrane (4)","2",TRUE
"1617","Q7TNI7","Q7TNI7","Alternative sequence (1); Chain (1); Disulfide bond (4); Glycosylation (1); Signal (1)","1",TRUE
"1618","Q7TNR6","Q7TNR6","Chain (1); Disulfide bond (1); Domain (2); Glycosylation (3); Signal (1)","3",TRUE
"1619","Q7TPD3","Q7TPD3","Alternative sequence (2); Chain (1); Compositional bias (7); Disulfide bond (5); Domain (8); Glycosylation (6); Modified residue (2); Region (4); Signal (1); Topological domain (2); Transmembrane (1)","6",TRUE
"1620","Q7TQ32","Q7TQ32","Alternative sequence (1); Chain (1); Compositional bias (1); Disulfide bond (2); Glycosylation (3); Lipidation (1); Modified residue (1); Propeptide (1); Region (1); Sequence conflict (2); Signal (1); Site (1)","3",TRUE
"1621","Q7TQ33","Q7TQ33","Chain (1); Disulfide bond (2); Glycosylation (2); Lipidation (1); Propeptide (1); Sequence conflict (7); Signal (1); Site (1)","2",TRUE
"1622","Q7TQA1","Q7TQA1","Alternative sequence (6); Chain (1); Compositional bias (1); Disulfide bond (8); Domain (12); Glycosylation (6); Region (1); Sequence conflict (1); Signal (1); Topological domain (3); Transmembrane (2)","6",TRUE
"1623","Q7TQD2","Q7TQD2","Binding site (4); Chain (1); Compositional bias (1); Glycosylation (1); Modified residue (9); Region (3)","1",TRUE
"1624","Q7TQE6","Q7TQE6","Chain (1); Compositional bias (3); Glycosylation (4); Modified residue (4); Region (3); Transmembrane (4)","4",TRUE
"1625","Q7TQH7","Q7TQH7","Chain (1); Compositional bias (1); Disulfide bond (15); Domain (6); Glycosylation (4); Modified residue (1); Region (1); Sequence conflict (3); Signal (1); Topological domain (2); Transmembrane (1)","4",TRUE
"1626","Q7TQN3","Q7TQN3","Beta strand (4); Chain (1); Disulfide bond (17); Domain (6); Glycosylation (2); Helix (1); Sequence conflict (1); Signal (1); Site (1)","2",TRUE
"1627","Q7TQQ0","Q7TQQ0","Binding site (3); Chain (1); Disulfide bond (1); Glycosylation (1); Mutagenesis (35); Sequence conflict (2); Topological domain (8); Transmembrane (7)","1",TRUE
"1628","Q7TS55","Q7TS55","Beta strand (11); Chain (1); Disulfide bond (1); Glycosylation (1); Helix (2); Sequence conflict (2); Topological domain (2); Transmembrane (1); Turn (1)","1",TRUE
"1629","Q7TSA3","Q7TSA3","Alternative sequence (2); Beta strand (11); Chain (1); Disulfide bond (3); Domain (1); Glycosylation (6); Helix (1); Mutagenesis (7); Natural variant (9); Signal (1); Topological domain (2); Transmembrane (1)","6",TRUE
"1630","Q7TSF0","Q7TSF0","Alternative sequence (2); Chain (1); Domain (3); Glycosylation (3); Propeptide (1); Repeat (5); Sequence conflict (1); Signal (1); Topological domain (2); Transmembrane (1)","3",TRUE
"1631","Q7TSF1","Q7TSF1","Chain (1); Compositional bias (2); Domain (4); Glycosylation (2); Propeptide (1); Region (2); Repeat (5); Sequence conflict (2); Signal (1); Topological domain (2); Transmembrane (1)","2",TRUE
"1632","Q7TSK2","Q7TSK2","Alternative sequence (4); Chain (1); Compositional bias (1); Disulfide bond (13); Domain (8); Glycosylation (4); Region (1); Sequence conflict (4); Signal (1); Topological domain (2); Transmembrane (1)","4",TRUE
"1633","Q7TSK3","Q7TSK3","Alternative sequence (3); Chain (1); Compositional bias (1); Domain (6); Glycosylation (1); Modified residue (1); Region (4); Sequence conflict (7); Signal (1); Topological domain (2); Transmembrane (1)","1",TRUE
"1634","Q7TSK7","Q7TSK7","Chain (1); Compositional bias (1); Disulfide bond (3); Domain (8); Glycosylation (10); Region (1); Sequence conflict (2); Signal (1)","10",TRUE
"1635","Q7TSN2","Q7TSN2","Chain (1); Disulfide bond (1); Domain (1); Glycosylation (1); Mutagenesis (1); Region (1); Sequence conflict (7); Signal (1); Site (1); Topological domain (2); Transmembrane (1)","1",TRUE
"1636","Q7TSN7","Q7TSN7","Beta strand (1); Chain (1); Compositional bias (1); Disulfide bond (2); Domain (2); Glycosylation (5); Region (1); Sequence conflict (2); Signal (1); Topological domain (2); Transmembrane (1)","5",TRUE
"1637","Q7TSP5","Q7TSP5","Chain (1); Disulfide bond (2); Domain (2); Glycosylation (1); Lipidation (1); Propeptide (1); Sequence conflict (3); Signal (1)","1",TRUE
"1638","Q7TST5","Q7TST5","Chain (1); Disulfide bond (2); Glycosylation (1); Region (1); Sequence conflict (7); Signal (1); Topological domain (2); Transmembrane (1)","1",TRUE
"1639","Q7TSU7","Q7TSU7","Alternative sequence (1); Beta strand (9); Chain (1); Compositional bias (2); Disulfide bond (5); Domain (5); Glycosylation (3); Helix (1); Modified residue (4); Motif (1); Mutagenesis (3); Region (2); Sequence conflict (3); Signal (1); Topological domain (2); Transmembrane (1); Turn (2)","3",TRUE
"1640","Q7TT15","Q7TT15","Alternative sequence (1); Binding site (7); Chain (1); Disulfide bond (5); Domain (1); Glycosylation (3); Region (2); Sequence conflict (3); Topological domain (2); Transmembrane (1)","3",TRUE
"1641","Q80SU6","Q80SU6","Chain (1); Disulfide bond (1); Glycosylation (3); Modified residue (1); Mutagenesis (2); Sequence conflict (2); Topological domain (9); Transmembrane (8)","3",TRUE
"1642","Q80T14","Q80T14","Chain (1); Domain (11); Glycosylation (16); Modified residue (1); Repeat (26); Sequence conflict (15); Signal (1); Topological domain (2); Transmembrane (1)","16",TRUE
"1643","Q80T21","Q80T21","Chain (1); Compositional bias (2); Domain (7); Glycosylation (2); Region (2); Sequence conflict (1); Signal (1)","2",TRUE
"1644","Q80T41","Q80T41","Chain (1); Coiled coil (1); Disulfide bond (3); Glycosylation (5); Modified residue (9); Region (1); Signal (1); Topological domain (8); Transmembrane (7)","5",TRUE
"1645","Q80T79","Q80T79","Alternative sequence (5); Chain (1); Compositional bias (1); Disulfide bond (70); Domain (42); Glycosylation (18); Region (3); Sequence conflict (2); Topological domain (3); Transmembrane (2)","18",TRUE
"1646","Q80TG9","Q80TG9","Chain (1); Compositional bias (1); Disulfide bond (1); Domain (4); Glycosylation (4); Motif (1); Mutagenesis (1); Region (3); Repeat (7); Sequence conflict (2); Signal (1); Topological domain (2); Transmembrane (1)","4",TRUE
"1647","Q80TL1","Q80TL1","Binding site (12); Chain (1); Glycosylation (3); Modified residue (2); Region (2); Topological domain (3); Transmembrane (12)","3",TRUE
"1648","Q80TR1","Q80TR1","Alternative sequence (1); Beta strand (6); Binding site (2); Chain (1); Compositional bias (3); Disulfide bond (9); Domain (3); Glycosylation (7); Helix (3); Modified residue (5); Mutagenesis (3); Region (5); Signal (1); Site (1); Topological domain (8); Transmembrane (7)","7",TRUE
"1649","Q80TR4","Q80TR4","Chain (1); Disulfide bond (39); Domain (19); Glycosylation (13); Repeat (20); Sequence conflict (3); Signal (1)","13",TRUE
"1650","Q80TS3","Q80TS3","Alternative sequence (8); Beta strand (31); Binding site (4); Chain (1); Disulfide bond (5); Domain (3); Glycosylation (9); Helix (3); Modified residue (2); Mutagenesis (10); Region (5); Sequence conflict (4); Signal (1); Topological domain (8); Transmembrane (7); Turn (9)","9",TRUE
"1651","Q80UC6","Q80UC6","Chain (1); Glycosylation (1); Mutagenesis (2); Region (1); Topological domain (8); Transmembrane (7)","1",TRUE
"1652","Q80UG2","Q80UG2","Chain (1); Disulfide bond (10); Domain (8); Glycosylation (4); Modified residue (1); Sequence conflict (2); Signal (1); Topological domain (2); Transmembrane (1)","4",TRUE
"1653","Q80UL9","Q80UL9","Beta strand (20); Chain (1); Disulfide bond (2); Domain (2); Glycosylation (3); Helix (4); Modified residue (1); Mutagenesis (8); Sequence conflict (1); Signal (1); Topological domain (2); Transmembrane (1); Turn (3)","3",TRUE
"1654","Q80UW0","Q80UW0","Active site (1); Alternative sequence (2); Binding site (11); Chain (1); Glycosylation (8); Region (2); Sequence conflict (1); Topological domain (2); Transmembrane (1)","8",TRUE
"1655","Q80V26","Q80V26","Binding site (6); Chain (1); Glycosylation (1); Modified residue (1); Region (1); Topological domain (2); Transmembrane (1)","1",TRUE
"1656","Q80VU4","Q80VU4","Chain (1); Disulfide bond (3); Glycosylation (1); Propeptide (1); Signal (1)","1",TRUE
"1657","Q80W65","Q80W65","Active site (3); Chain (1); Disulfide bond (11); Domain (1); Glycosylation (1); Modified residue (3); Motif (1); Propeptide (1); Region (1); Sequence conflict (8); Signal (1); Site (2)","1",TRUE
"1658","Q80W68","Q80W68","Alternative sequence (2); Chain (1); Disulfide bond (5); Domain (5); Glycosylation (4); Modified residue (6); Motif (1); Mutagenesis (2); Region (1); Sequence conflict (3); Signal (1); Topological domain (2); Transmembrane (1)","4",TRUE
"1659","Q80WG5","Q80WG5","Beta strand (22); Chain (1); Disulfide bond (3); Glycosylation (2); Helix (38); Modified residue (5); Motif (1); Mutagenesis (1); Natural variant (1); Repeat (17); Site (1); Topological domain (5); Transmembrane (4); Turn (3)","2",TRUE
"1660","Q80WJ6","Q80WJ6","Alternative sequence (6); Binding site (2); Chain (1); Compositional bias (1); Domain (4); Glycosylation (2); Region (2); Transmembrane (10)","2",TRUE
"1661","Q80WM4","Q80WM4","Chain (1); Disulfide bond (5); Domain (3); Glycosylation (1); Sequence conflict (1); Signal (1)","1",TRUE
"1662","Q80WM9","Q80WM9","Beta strand (6); Chain (1); Disulfide bond (8); Glycosylation (2); Helix (1); Repeat (3); Signal (1); Transmembrane (1)","2",TRUE
"1663","Q80WT4","Q80WT4","Chain (1); Compositional bias (1); Glycosylation (4); Mutagenesis (2); Region (1); Topological domain (8); Transmembrane (7)","4",TRUE
"1664","Q80WV3","Q80WV3","Binding site (2); Chain (1); Glycosylation (3); Region (2); Sequence conflict (1); Topological domain (2); Transmembrane (1)","3",TRUE
"1665","Q80X19","Q80X19","Alternative sequence (1); Chain (1); Compositional bias (3); Domain (16); Glycosylation (5); Motif (1); Region (6); Sequence conflict (4); Signal (1)","5",TRUE
"1666","Q80X71","Q80X71","Chain (1); Disulfide bond (1); Glycosylation (5); Initiator methionine (1); Lipidation (1); Modified residue (1); Region (1); Sequence conflict (1); Topological domain (2); Transmembrane (1)","5",TRUE
"1667","Q80X89","Q80X89","Chain (1); Glycosylation (2); Modified residue (1); Sequence conflict (4); Signal (1); Topological domain (2); Transmembrane (1)","2",TRUE
"1668","Q80XG9","Q80XG9","Alternative sequence (2); Chain (1); Domain (2); Glycosylation (3); Repeat (10); Sequence conflict (1); Signal (1); Topological domain (2); Transmembrane (1)","3",TRUE
"1669","Q80XH2","Q80XH2","Alternative sequence (1); Chain (1); Compositional bias (2); Disulfide bond (6); Domain (4); Glycosylation (15); Mutagenesis (6); Region (7); Signal (1); Topological domain (2); Transmembrane (1)","15",TRUE
"1670","Q80XU8","Q80XU8","Beta strand (10); Chain (1); Disulfide bond (1); Domain (4); Glycosylation (6); Helix (6); Modified residue (2); Motif (1); Region (1); Repeat (7); Sequence conflict (1); Signal (1); Topological domain (2); Transmembrane (1); Turn (5)","6",TRUE
"1671","Q80YA8","Q80YA8","Chain (1); Disulfide bond (48); Domain (18); Glycosylation (13); Region (1); Sequence conflict (1); Signal (1); Topological domain (2); Transmembrane (1)","13",TRUE
"1672","Q80YC5","Q80YC5","Active site (3); Chain (2); Compositional bias (1); Disulfide bond (20); Domain (6); Glycosylation (6); Region (1); Sequence conflict (3); Signal (1)","6",TRUE
"1673","Q80YX1","Q80YX1","Alternative sequence (4); Chain (1); Coiled coil (1); Compositional bias (1); Disulfide bond (42); Domain (30); Glycosylation (20); Modified residue (4); Region (1); Sequence conflict (5); Signal (1)","20",TRUE
